seconds_of_day,day_of_year,temperature,radiator-input,radiator-output,outdoor-temperature,solar-radiation,windspeed,humidity
31363,289,21.278082191780825,20.017241379310345,20.67241379310345,10.4,0.0,1.6,97.0
32263,289,21.10410958904109,19.644927536231883,20.28840579710145,10.4,7.0,4.8,97.0
33163,289,20.92876712328767,19.5,20.0,10.4,0.0,3.2,97.0
34063,289,20.781944444444445,19.5,20.0,10.3,5.0,12.9,97.0
34963,289,20.7,19.95,20.00714285714286,10.3,18.0,11.3,97.0
35863,289,20.673684210526314,38.95138888888889,29.741666666666667,10.4,5.0,8.0,97.0
36763,289,20.98767123287672,43.94,38.79733333333333,10.5,0.0,9.7,97.0
37663,289,21.52285714285714,42.78,38.04266666666667,10.6,14.0,8.0,97.0
38563,289,22.00405405405405,41.33108108108108,35.95810810810811,10.6,14.0,8.0,97.0
39463,289,22.42,37.04,34.372,10.7,14.0,8.0,97.0
40363,289,22.775714285714287,33.01388888888889,31.81388888888889,10.7,21.0,11.3,97.0
41263,289,22.958333333333336,27.21917808219178,27.105479452054794,10.9,28.0,11.3,98.0
42163,289,23.06756756756757,24.383561643835616,24.295890410958904,11.0,40.0,11.3,98.0
43063,289,23.12537313432836,23.116438356164384,23.208219178082192,11.1,39.0,9.7,97.0
43963,289,23.1,22.297101449275363,22.569565217391304,11.2,16.0,12.9,97.0
44863,289,23.18904109589041,22.0,22.3027397260274,11.3,35.0,9.7,98.0
45763,289,23.28235294117647,21.95890410958904,22.30958904109589,11.3,19.0,9.7,98.0
46663,289,23.3,21.5,22.06081081081081,11.4,11.0,8.0,98.0
47563,289,23.232835820895524,21.5,22.0,11.4,18.0,1.6,98.0
48463,289,23.17183098591549,21.5,21.80923076923077,11.4,30.0,8.0,97.0
49363,289,23.044117647058822,21.223684210526315,21.8,11.6,65.0,11.3,98.0
50263,289,22.84,20.81428571428572,21.24,11.8,81.0,4.8,98.0
51163,289,22.63793103448276,19.927083333333336,19.977083333333333,12.0,185.0,11.3,98.0
52063,289,22.5,19.5,19.69591836734694,12.9,134.0,12.9,98.0
52963,289,22.45555555555556,19.5,19.625,12.8,121.0,9.7,98.0
53863,289,22.4,19.5,19.5,12.8,148.0,8.0,97.0
54763,289,22.4,19.5,19.582692307692305,12.8,134.0,9.7,97.0
55663,289,22.444444444444446,19.5,19.898305084745765,13.0,135.0,4.8,97.0
56563,289,22.5,27.375,22.3,12.9,74.0,9.7,96.0
57463,289,22.433333333333334,29.884615384615387,26.33333333333333,12.7,16.0,8.0,96.0
58363,289,22.45862068965517,31.258064516129032,28.266129032258068,12.7,5.0,9.7,96.0
59263,289,22.67179487179488,26.655555555555555,26.666666666666668,12.7,42.0,11.3,96.0
60163,289,22.7,23.944444444444446,23.91555555555556,12.6,21.0,4.8,96.0
61063,289,22.737704918032787,22.554794520547947,22.532876712328765,12.6,51.0,0.0,97.0
61963,289,22.86986301369863,21.984126984126984,22.061904761904763,12.8,25.0,11.3,97.0
62863,289,22.97536231884058,21.514285714285712,21.81142857142857,12.3,30.0,3.2,94.0
63763,289,23.072222222222223,21.5,21.6171875,12.2,7.0,3.2,93.0
64663,289,23.143478260869564,20.77777777777778,21.01805555555556,12.2,0.0,11.3,90.0
65563,289,22.7234375,19.605633802816904,19.36056338028169,12.2,0.0,9.7,89.0
66463,289,22.25138888888889,18.68840579710145,18.85942028985508,11.8,0.0,11.3,90.0
67363,289,21.860869565217392,18.306666666666665,18.430666666666667,11.8,0.0,9.7,90.0
68263,289,21.53150684931507,17.883561643835616,18.008219178082193,11.8,0.0,11.3,91.0
69163,289,21.240579710144928,17.450704225352112,16.929577464788732,11.6,0.0,19.3,90.0
70063,289,21.148,17.472972972972975,17.63783783783784,11.7,0.0,14.5,89.0
70963,289,21.269565217391303,18.0,18.28243243243244,11.6,0.0,16.1,90.0
71863,289,21.3,18.074324324324326,18.54054054054054,11.6,0.0,12.9,90.0
72763,289,21.38235294117647,18.53333333333333,18.813333333333333,11.7,0.0,16.1,90.0
73663,289,21.475342465753425,18.972602739726028,19.0,11.7,0.0,12.9,91.0
74563,289,21.55733333333333,18.986666666666668,19.0,11.8,0.0,14.5,91.0
75463,289,21.613888888888887,19.0,19.01232876712329,11.8,0.0,16.1,91.0
76363,289,21.72054794520548,19.0,19.25,11.8,0.0,16.1,92.0
77263,289,21.78783783783784,19.0,19.3027397260274,11.8,0.0,16.1,92.0
78163,289,21.7,19.0,19.458823529411767,11.8,0.0,16.1,93.0
79063,289,21.47384615384616,18.58904109589041,18.291780821917808,11.7,0.0,14.5,93.0
79963,289,21.186301369863013,18.445945945945944,18.277027027027025,11.7,0.0,16.1,93.0
80863,289,20.940540540540542,18.5,18.475675675675674,11.7,0.0,24.1,93.0
