seconds_of_day,day_of_year,temperature,radiator-input,radiator-output,outdoor-temperature,solar-radiation,windspeed,humidity
32263,289,,21.0,21.0,10.4,7.0,4.8,97.0
33163,289,,20.80933333333333,20.65333333333333,10.4,0.0,3.2,97.0
34063,289,,20.291549295774647,20.471830985915496,10.3,5.0,12.9,97.0
34963,289,20.06590909090909,20.53648648648649,20.364864864864863,10.3,18.0,11.3,97.0
35863,289,20.11746031746032,37.51971830985916,30.338028169014088,10.4,5.0,8.0,97.0
36763,289,20.04189189189189,43.63733333333333,39.86666666666667,10.5,0.0,9.7,97.0
37663,289,20.18243243243243,42.51216216216216,40.19594594594595,10.6,14.0,8.0,97.0
38563,289,20.453333333333333,41.88356164383562,39.48630136986301,10.6,14.0,8.0,97.0
39463,289,21.561333333333334,36.562666666666665,35.980000000000004,10.7,14.0,8.0,97.0
40363,289,21.112,33.43571428571428,33.614285714285714,10.7,21.0,11.3,97.0
41263,289,20.85675675675676,30.06712328767124,29.417808219178085,10.9,28.0,11.3,98.0
42163,289,20.67123287671233,27.618666666666662,26.173333333333336,11.0,40.0,11.3,98.0
43063,289,20.465333333333334,25.973611111111108,24.40972222222222,11.1,39.0,9.7,97.0
43963,289,20.49718309859155,24.95633802816901,23.45774647887324,11.2,16.0,12.9,97.0
44863,289,20.40945945945946,24.1375,22.76388888888889,11.3,35.0,9.7,98.0
45763,289,20.33043478260869,23.24383561643836,22.794520547945204,11.3,19.0,9.7,98.0
46663,289,20.3,22.68857142857143,22.264285714285712,11.4,11.0,8.0,98.0
47563,289,20.25070422535212,22.372,21.68,11.4,18.0,1.6,98.0
48463,289,20.152857142857144,22.036,21.473333333333333,11.4,30.0,8.0,97.0
49363,289,20.05675675675676,21.725,21.02777777777778,11.6,65.0,11.3,98.0
50263,289,20.0,21.43125,21.0625,11.8,81.0,4.8,98.0
51163,289,20.078125,21.3,21.12162162162162,12.0,185.0,11.3,98.0
52063,289,20.1,21.056603773584904,21.0,12.9,134.0,12.9,98.0
52963,289,20.213793103448275,21.0,21.0,12.8,121.0,9.7,98.0
53863,289,20.162745098039217,20.974545454545456,21.0,12.8,148.0,8.0,97.0
54763,289,20.059183673469388,20.8,20.54716981132076,12.8,134.0,9.7,97.0
55663,289,20.1,20.775,20.5,13.0,135.0,4.8,97.0
56563,289,20.1,27.323636363636364,22.8,12.9,74.0,9.7,96.0
57463,289,20.1,30.23404255319149,28.35106382978724,12.7,16.0,8.0,96.0
58363,289,20.2271186440678,32.28709677419355,30.766129032258068,12.7,5.0,9.7,96.0
59263,289,20.3,27.63962264150944,27.69811320754717,12.7,42.0,11.3,96.0
60163,289,20.3,25.848888888888887,24.944444444444446,12.6,21.0,4.8,96.0
61063,289,20.233823529411765,24.44857142857143,23.32857142857143,12.6,51.0,0.0,97.0
61963,289,20.10821917808219,23.526027397260272,22.513698630136982,12.8,25.0,11.3,97.0
62863,289,19.964383561643835,22.76081081081081,21.864864864864863,12.3,30.0,3.2,94.0
63763,289,19.842666666666663,22.197297297297297,21.466216216216218,12.2,7.0,3.2,93.0
64663,289,19.72191780821917,21.73972602739726,21.0,12.2,0.0,11.3,90.0
65563,289,19.663768115942027,21.33150684931507,21.006849315068493,12.2,0.0,9.7,89.0
66463,289,19.445070422535213,20.936486486486487,20.804054054054056,11.8,0.0,11.3,90.0
67363,289,19.247222222222224,20.645833333333336,20.458333333333336,11.8,0.0,9.7,90.0
68263,289,19.06621621621621,20.383783783783784,20.0,11.8,0.0,11.3,91.0
69163,289,18.946666666666665,19.933333333333334,19.76388888888889,11.6,0.0,19.3,90.0
70063,289,18.833333333333336,19.8,19.5,11.7,0.0,14.5,89.0
70963,289,18.8,19.674324324324324,19.5,11.6,0.0,16.1,90.0
71863,289,18.8,19.5,19.5,11.6,0.0,12.9,90.0
72763,289,18.8,19.393150684931506,19.5,11.7,0.0,16.1,90.0
73663,289,18.759459459459457,19.3,19.486486486486488,11.7,0.0,12.9,91.0
74563,289,18.7,19.09041095890411,19.013698630136982,11.8,0.0,14.5,91.0
75463,289,18.7,19.0,19.0,11.8,0.0,16.1,91.0
76363,289,18.718055555555555,19.0,19.0,11.8,0.0,16.1,92.0
77263,289,18.8,19.0,19.0,11.8,0.0,16.1,92.0
78163,289,18.879166666666663,19.0,19.0,11.8,0.0,16.1,93.0
79063,289,18.92361111111111,19.0,19.0,11.7,0.0,14.5,93.0
79963,289,18.994594594594595,19.00405405405405,19.18918918918919,11.7,0.0,16.1,93.0
80863,289,18.84133333333333,19.0,19.0,11.7,0.0,24.1,93.0
81763,289,18.592,18.904225352112675,19.0,11.7,0.0,19.3,93.0
82663,289,18.417567567567566,18.8,19.0,11.7,0.0,16.1,93.0
83563,289,18.26533333333333,18.93108108108108,19.0,11.7,0.0,20.9,93.0
84463,289,18.14133333333333,24.59718309859155,19.91549295774648,11.8,0.0,11.3,93.0
85363,289,18.1,24.794444444444444,23.04861111111111,11.8,0.0,14.5,93.0
86263,289,18.1,27.627027027027022,25.831081081081084,11.9,0.0,16.1,92.0
763,290,18.142424242424244,30.21506849315069,28.18493150684932,12.1,0.0,22.5,91.0
1663,290,18.231506849315068,31.0842105263158,29.80921052631579,12.2,0.0,12.9,91.0
2563,290,18.3,29.593333333333334,29.37333333333333,12.2,0.0,12.9,90.0
3463,290,18.374666666666663,28.929333333333336,28.74,12.3,0.0,19.3,90.0
4363,290,18.342666666666663,28.09066666666667,27.866666666666667,12.4,0.0,19.3,89.0
5263,290,18.3,27.92739726027397,27.616438356164384,12.2,0.0,27.4,91.0
6163,290,18.3,27.204,27.173333333333336,12.1,0.0,22.5,91.0
7063,290,18.24189189189189,27.37972972972973,27.12837837837838,12.0,0.0,29.0,90.0
7963,290,18.2,25.34,25.366666666666667,12.0,0.0,29.0,89.0
8863,290,18.106666666666666,25.381944444444446,23.77777777777778,11.7,0.0,27.4,89.0
9763,290,18.062666666666665,27.006756756756754,25.655405405405407,11.7,0.0,33.8,88.0
10663,290,18.0,28.473972602739725,26.71232876712329,11.7,0.0,35.4,87.0
11563,290,18.0,27.59027777777778,27.111111111111107,11.6,0.0,29.0,86.0
12463,290,18.0,28.855405405405406,28.0945945945946,11.6,0.0,25.7,86.0
13363,290,18.0,29.11690140845071,28.359154929577464,11.6,0.0,27.4,85.0
14263,290,18.0,29.31733333333333,28.673333333333336,11.3,0.0,35.4,88.0
15163,290,18.0,28.602666666666664,28.34,11.2,0.0,37.0,88.0
16063,290,18.044594594594592,28.95405405405405,28.51351351351352,11.2,0.0,27.4,89.0
16963,290,18.00138888888889,27.966216216216218,27.695945945945947,11.1,0.0,32.2,90.0
17863,290,18.0,27.31917808219178,27.294520547945204,10.8,0.0,27.4,91.0
