seconds_of_day,day_of_year,temperature,radiator-input,radiator-output,outdoor-temperature,solar-radiation,windspeed,humidity
29563,289,20.013698630136982,19.0,19.88888888888889,10.3,0.0,1.6,97.0
30463,289,20.1,18.912328767123288,19.095890410958905,10.4,0.0,1.6,97.0
31363,289,20.088235294117645,18.8,18.99324324324324,10.4,0.0,1.6,97.0
32263,289,20.0,18.8,18.7,10.4,7.0,4.8,97.0
33163,289,20.0,18.8,18.52112676056338,10.4,0.0,3.2,97.0
34063,289,20.0,18.8,18.92957746478873,10.3,5.0,12.9,97.0
34963,289,20.046268656716418,18.8,19.0,10.3,18.0,11.3,97.0
35863,289,20.1,18.8,19.0,10.4,5.0,8.0,97.0
36763,289,20.215068493150685,18.916216216216217,19.0,10.5,0.0,9.7,97.0
37663,289,20.491549295774647,19.0,19.0,10.6,14.0,8.0,97.0
38563,289,20.814705882352943,19.26086956521739,19.333333333333336,10.6,14.0,8.0,97.0
39463,289,21.09705882352941,19.408571428571427,19.5,10.7,14.0,8.0,97.0
40363,289,21.383561643835616,19.5,19.5,10.7,21.0,11.3,97.0
41263,289,21.633333333333333,19.618181818181817,19.50757575757576,10.9,28.0,11.3,98.0
42163,289,21.8231884057971,19.8,19.889705882352946,11.0,40.0,11.3,98.0
43063,289,21.94776119402985,19.8,20.0,11.1,39.0,9.7,97.0
43963,289,22.07058823529412,19.8,20.0,11.2,16.0,12.9,97.0
44863,289,22.12741935483871,19.866666666666667,20.0,11.3,35.0,9.7,98.0
45763,289,22.291044776119403,20.0,20.0,11.3,19.0,9.7,98.0
46663,289,22.4,20.0,20.0,11.4,11.0,8.0,98.0
47563,289,22.495833333333334,20.0,20.0,11.4,18.0,1.6,98.0
48463,289,22.50422535211268,20.0,20.0,11.4,30.0,8.0,97.0
49363,289,22.441935483870967,20.0,20.0,11.6,65.0,11.3,98.0
50263,289,22.285,20.0,20.0,11.8,81.0,4.8,98.0
51163,289,22.285714285714285,20.0,20.0,12.0,185.0,11.3,98.0
52063,289,22.3,19.995454545454542,20.0,12.9,134.0,12.9,98.0
52963,289,22.33125,20.0,20.223684210526315,12.8,121.0,9.7,98.0
53863,289,22.43777777777777,20.0,20.5,12.8,148.0,8.0,97.0
54763,289,22.54222222222222,20.10434782608696,20.27173913043478,12.8,134.0,9.7,97.0
55663,289,22.6,20.0,20.0,13.0,135.0,4.8,97.0
56563,289,22.6,20.0,20.0,12.9,74.0,9.7,96.0
57463,289,22.6,20.05625,20.203125,12.7,16.0,8.0,96.0
58363,289,22.696,20.3,20.5,12.7,5.0,9.7,96.0
59263,289,22.7,20.3,20.5,12.7,42.0,11.3,96.0
60163,289,22.62093023255814,20.3,20.5,12.6,21.0,4.8,96.0
61063,289,22.465714285714284,20.3,20.5,12.6,51.0,0.0,97.0
61963,289,22.33134328358209,20.3,20.5,12.8,25.0,11.3,97.0
62863,289,22.15714285714286,20.3,20.5,12.3,30.0,3.2,94.0
63763,289,21.99787234042553,20.267123287671232,20.5,12.2,7.0,3.2,93.0
64663,289,21.826785714285712,20.02432432432433,20.39189189189189,12.2,0.0,11.3,90.0
65563,289,21.691304347826087,20.0,20.051470588235293,12.2,0.0,9.7,89.0
66463,289,21.53243243243244,20.0,20.0,11.8,0.0,11.3,90.0
67363,289,21.386301369863013,19.84864864864865,20.0,11.8,0.0,9.7,90.0
68263,289,21.25142857142857,19.8,20.0,11.8,0.0,11.3,91.0
69163,289,21.223287671232875,19.8,20.0,11.6,0.0,19.3,90.0
70063,289,21.375,19.8,20.0,11.7,0.0,14.5,89.0
70963,289,21.497260273972604,19.8,20.0,11.6,0.0,16.1,90.0
71863,289,21.6112676056338,19.8,20.0,11.6,0.0,12.9,90.0
72763,289,21.7,19.8,19.99253731343284,11.7,0.0,16.1,90.0
73663,289,21.754666666666665,19.795081967213115,19.98360655737705,11.7,0.0,12.9,91.0
74563,289,21.8,19.593243243243244,19.7027027027027,11.8,0.0,14.5,91.0
75463,289,21.8,19.5,19.58783783783784,11.8,0.0,16.1,91.0
76363,289,21.8,19.525714285714287,19.571428571428573,11.8,0.0,16.1,92.0
77263,289,21.75820895522388,19.8,19.70714285714286,11.8,0.0,16.1,92.0
78163,289,21.63809523809524,19.8,19.5072463768116,11.8,0.0,16.1,93.0
79063,289,21.4890625,19.62972972972973,19.5,11.7,0.0,14.5,93.0
79963,289,21.36857142857143,19.5,19.5,11.7,0.0,16.1,93.0
80863,289,21.254285714285714,19.5,19.5,11.7,0.0,24.1,93.0
81763,289,21.156,19.5,19.5,11.7,0.0,19.3,93.0
82663,289,21.051388888888887,19.5,19.5,11.7,0.0,16.1,93.0
83563,289,20.95068493150685,19.5,19.5,11.7,0.0,20.9,93.0
84463,289,20.9,19.40684931506849,19.5,11.8,0.0,11.3,93.0
85363,289,20.82941176470588,19.3,19.5,11.8,0.0,14.5,93.0
86263,289,20.722535211267605,19.3,19.5,11.9,0.0,16.1,92.0
763,290,20.643478260869564,19.3,19.5,12.1,0.0,22.5,91.0
1663,290,20.6,19.3,19.5,12.2,0.0,12.9,91.0
